"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
4.471984694E0,3.140000105E0,8.019000053E0,1.504999995E0
4.491984694E0,3.101000071E0,8.000000000E0,1.199000001E0
4.511984694E0,2.144000053E0,8.803999901E0,8.539999723E-1
4.531984694E0,1.052000046E0,9.647000313E0,1.121999979E0
4.551984694E0,0.000000000E0,9.953000069E0,1.409999967E0
4.571984694E0,-1.720000058E-1,1.022099972E1,6.439999938E-1
4.591984694E0,1.378000021E0,1.068099976E1,6.819999814E-1
4.611984694E0,4.155000210E0,1.047000027E1,1.582000017E0
4.631984694E0,5.591000080E0,1.127400017E1,-4.280000031E-1
4.651984694E0,4.155000210E0,1.462500000E1,8.930000067E-1
4.671984694E0,8.799999952E-1,1.546800041E1,1.927000046E0
4.691984694E0,-6.700000167E-1,1.292099953E1,-3.510000110E-1
4.711984694E0,-1.014999986E0,1.089099979E1,-2.611000061E0
4.731984694E0,-2.622999907E0,8.477999687E0,-4.181000233E0
4.751984694E0,-4.366000175E0,5.912000179E0,-2.898000002E0
4.771984694E0,-3.351000071E0,5.472000122E0,7.200000286E-1
4.791984694E0,-1.187000036E0,7.617000103E0,1.276000023E0
4.811984694E0,1.014000058E0,1.031700039E1,1.773000002E0
4.831984694E0,2.698999882E0,1.221199989E1,2.213999987E0
4.851984694E0,3.062999964E0,1.295899963E1,2.309999943E0
4.871984694E0,2.105999947E0,1.075699997E1,1.906999946E0
4.891984694E0,1.263000011E0,7.157000065E0,7.779999971E-1
4.911984694E0,3.819999993E-1,5.394999981E0,-2.360000014E-1
4.931984694E0,0.000000000E0,5.567999840E0,-1.599999964E-1
4.951984694E0,3.799999878E-2,7.215000153E0,1.467000008E0
4.971984694E0,-2.680000067E-1,8.343999863E0,2.194999933E0
4.991984694E0,-8.809999824E-1,8.555000305E0,2.404999971E0
5.011984694E0,-7.659999728E-1,8.019000053E0,2.367000103E0
5.031984694E0,-4.589999914E-1,7.598000050E0,2.596999884E0
5.051984694E0,-3.799999878E-2,7.731999874E0,2.884000063E0
5.071984694E0,1.330000013E-1,8.402000427E0,2.960999966E0
5.091984694E0,2.479999959E-1,8.899999619E0,2.730999947E0
5.111984694E0,3.440000117E-1,9.626999855E0,2.404999971E0
5.131984694E0,6.690000296E-1,1.048900032E1,2.903000116E0
5.151984694E0,1.281999946E0,1.144699955E1,3.266999960E0
5.171984694E0,-7.269999981E-1,1.158100033E1,3.994999886E0
5.191984694E0,-3.006000042E0,1.250000000E1,4.282000065E0
5.211984694E0,-7.080000043E-1,1.569799995E1,4.071000099E0
5.231984694E0,-1.378000021E0,1.728700066E1,4.204999924E0
5.251984694E0,-8.809999824E-1,1.608099937E1,4.709999859E-1
5.271984694E0,-2.546999931E0,1.238500023E1,4.140000045E-1
5.291984694E0,-2.852999926E0,5.300000191E0,-1.442999959E0
5.311984694E0,-1.914999962E0,2.848999977E0,-3.051000118E0
5.331984694E0,-2.489999980E-1,3.825000048E0,-2.706000090E0
5.351984694E0,1.128999949E0,6.199999809E0,-7.530000210E-1
5.371984694E0,3.059999943E-1,9.359000206E0,8.799999952E-2
5.391984694E0,-1.340000033E0,1.169499969E1,7.390000224E-1
5.411984694E0,-2.413000107E0,1.089099979E1,1.026999950E0
5.431984694E0,-1.684999943E0,8.822999954E0,1.429000020E0
5.451984694E0,-5.360000134E-1,7.941999912E0,1.429000020E0
5.471984694E0,3.059999943E-1,7.769999981E0,6.050000191E-1
5.491984694E0,3.819999993E-1,7.866000175E0,-3.889999986E-1
5.511984694E0,7.649999857E-1,8.420999527E0,-5.429999828E-1
5.531984694E0,1.817999959E0,8.899999619E0,3.560000062E-1
5.551984694E0,2.717999935E0,8.880999565E0,1.065000057E0
5.571984694E0,3.025000095E0,8.210000038E0,1.600999951E0
5.591984694E0,2.776000023E0,7.578000069E0,1.582000017E0
5.611984694E0,2.584000111E0,7.731999874E0,1.429000020E0
5.631984694E0,2.315999985E0,8.286999702E0,1.218000054E0
5.651984694E0,1.684000015E0,8.708000183E0,9.689999819E-1
5.671984694E0,1.187000036E0,9.225000381E0,6.050000191E-1
5.691984694E0,5.929999948E-1,9.876000404E0,6.240000129E-1
5.711984694E0,7.269999981E-1,1.083399963E1,1.753999949E0
5.731984694E0,2.450000048E0,1.045100021E1,2.137000084E0
5.751984694E0,4.557000160E0,1.025899982E1,1.103000045E0
5.771984694E0,4.403999805E0,1.114000034E1,-4.659999907E-1
5.791984694E0,3.963000059E0,1.458699989E1,8.539999723E-1
5.811984694E0,2.479999959E-1,1.632999992E1,-1.209999993E-1
5.831984694E0,-1.398000002E0,1.395499992E1,-2.939999998E-1
5.851984694E0,-1.513000011E0,1.096800041E1,-2.552999973E0
5.871984694E0,-2.565999985E0,7.846000195E0,-3.835999966E0
5.891984694E0,-2.622999907E0,5.414999962E0,-2.611000061E0
5.911984694E0,-1.435999990E0,5.855000019E0,-2.600000054E-2
5.931984694E0,7.459999919E-1,8.000000000E0,7.009999752E-1
5.951984694E0,2.296999931E0,1.023999977E1,1.620000005E0
5.971984694E0,2.910000086E0,1.228899956E1,1.026999950E0
5.991984694E0,2.048000097E0,1.181000042E1,1.371000051E0
6.011984694E0,9.570000172E-1,9.225000381E0,6.439999938E-1
6.031984694E0,5.159999728E-1,7.406000137E0,2.989999950E-1
6.051984694E0,5.700000003E-2,6.602000237E0,-1.209999993E-1
6.071984694E0,-1.720000058E-1,7.711999893E0,1.070000008E-1
6.091984694E0,-1.340000033E-1,8.727000237E0,6.629999876E-1
6.111984694E0,-5.740000010E-1,8.746999741E0,1.236999989E0
6.131984694E0,-4.589999914E-1,7.827000141E0,1.620000005E0
6.151984694E0,3.799999878E-2,7.176000118E0,2.118000031E0
6.171984694E0,1.720000058E-1,6.927000046E0,2.252000093E0
6.191984694E0,2.290000021E-1,7.368000031E0,2.654000044E0
6.211984694E0,2.099999934E-1,8.038000107E0,2.750000000E0
6.231984694E0,3.059999943E-1,8.651000023E0,2.463000059E0
6.251984694E0,1.909999996E-1,9.838000298E0,1.677999973E0
6.271984694E0,9.950000048E-1,1.117800045E1,2.252000093E0
6.291984694E0,6.890000105E-1,1.131200027E1,2.367000103E0
6.311984694E0,-8.809999824E-1,1.209799957E1,1.006999969E0
6.331984694E0,-1.282999992E0,1.397399998E1,-3.889999986E-1
6.351984694E0,-7.850000262E-1,1.922100067E1,3.707000017E0
6.371984694E0,-1.608000040E0,1.887599945E1,1.389999986E0
6.391984694E0,-4.231999874E0,1.272999954E1,1.046000004E0
6.411984694E0,-4.039999962E0,4.284999847E0,3.759999871E-1
6.431984694E0,-1.358999968E0,2.829999924E-1,-1.863999963E0
6.451984694E0,8.610000014E-1,2.963000059E0,-2.322999954E0
6.471984694E0,2.296999931E0,6.888999939E0,-2.549999952E-1
6.491984694E0,4.009999931E-1,1.054699993E1,-1.098000050E0
6.511984694E0,-3.140000105E0,1.251900005E1,6.439999938E-1
6.531984694E0,-4.117000103E0,1.035499954E1,1.677999973E0
6.551984694E0,-2.815000057E0,8.343999863E0,1.065000057E0
6.571984694E0,-2.300000042E-1,8.057000160E0,2.610000074E-1
6.591984694E0,6.119999886E-1,8.517000198E0,-1.021000028E0
6.611984694E0,7.459999919E-1,9.128999710E0,-7.919999957E-1
6.631984694E0,1.455000043E0,9.340000153E0,8.539999723E-1
6.651984694E0,1.626999974E0,8.994999886E0,1.812000036E0
6.671984694E0,1.608000040E0,8.593000412E0,2.385999918E0
6.691984694E0,1.588999987E0,7.903999805E0,2.270999908E0
6.711984694E0,1.894999981E0,7.578000069E0,1.927000046E0
6.731984694E0,2.009999990E0,8.019000053E0,1.467000008E0
6.751984694E0,1.531000018E0,8.517000198E0,1.447999954E0
6.771984694E0,9.760000110E-1,8.727000237E0,1.659000039E0
6.791984694E0,1.243999958E0,8.803999901E0,7.590000033E-1
6.811984694E0,1.684000015E0,9.454999924E0,-6.000000052E-3
6.831984694E0,2.163000107E0,9.953000069E0,1.179999948E0
6.851984694E0,2.469000101E0,9.972000122E0,1.965000033E0
6.871984694E0,1.519999951E-1,1.092899990E1,-8.489999771E-1
6.891984694E0,-7.469999790E-1,1.552499962E1,-6.579999924E-1
6.911984694E0,-2.910000086E0,1.703800011E1,2.500999928E0
